,complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date,complainant_sex,complainant_race,complainant_age,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
38,15-0358,2015-07-02,1900, CRIMINAL ALLEGATION,"According to the complainant, on 6-29-15 at 3:00pm, they were verbally abused and threatened by an unidentified 19th District officer.",6-29-15,male,black,26.0,44486314.0,black,male,1900 19TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
39,15-0359,2015-07-06,1200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-28-15 at 10:42am, they were harassed by two unknown officers in the 12th district.",6-28-15,female,other,25.0,66221391.0,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
40,15-0360,2015-07-02,1900, VERBAL ABUSE,"According to the complainant, on 6-27-15 at 12:00am, they were treated unprofessionally and did not receive proper service from officers assigned to the 19th District.",6-27-15,female,black,41.0,52963983.0,black,male,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
42,15-0361,2015-07-02,2400, PHYSICAL ABUSE,"According to the complainant, on 6-27-15 at 6:24pm, they were physically abused by an officer assigned to the 25th District..",6-27-15,female,latino,23.0,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
44,15-0362,2015-07-06,1700, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-18-15 at 4:45pm, they were harassed by an officer assigned to the 17th District.",6-18-15,female,white,32.0,81286394.0,white,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
46,15-0363,2015-07-06,800, HARASSMENT,"According to the complainant, on 6-16-15, they were harassed by an officer assigned to the 2nd District.",6-16-15,male,white,25.0,65043451.0,white,male,0200 02ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
48,15-0364,2015-07-06,2200, HARASSMENT,"According to the complainant, on 6-12-15 at 7:45pm, a sergeant assigned to the 22nd District, did not follow proper police procedure.",6-12-15,female,black,42.0,47882806.0,latino,male,2200 22ND DISTRICT,Harassment,No Sustained Findings,Not Applicable
49,15-0365,2015-07-06,1400, LACK OF SERVICE,"According to the complainant, on 6-30-15 at 11:30pm, they did not receive proper service from an officer assigned to the 14th District.",6-30-15,male,black,49.0,73787195.0,black,male,1400 14TH DISTRICT,Lack of Service,Sustained Finding,Guilty Finding
50,15-0366,2015-07-06,300, LACK OF SERVICE,"According to the complainant, on 6-15-15 at 10:00pm, they did not receive proper service from officers assigned to the 3rd District.",6-15-15,female,white,,53242761.0,asian,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
54,15-0367,2015-07-08,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-19-15 at 7:30pm, they were falsely detained by unidentified 15th District officers.",6-19-15,male,black,45.0,35272733.0,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
56,15-0368,2015-07-08,3900, LACK OF SERVICE,"According to the complainant, on 7-2-15 at 1:00am, they did not receive proper service from several unknown 39th District officers.",7-2-15,male,black,48.0,65657312.0,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
58,15-0369,2015-07-08,2200, LACK OF SERVICE,"According to the complainant, 6-26-15, 6:15pm, they did not receive proper service from sergeants assigned to the 22nd District.",6-26-15,male,black,31.0,87819482.0,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
60,15-0370,2015-07-09,2500, PHYSICAL ABUSE,"According to the complainant, 7-4-15 at 9:00pm, they were verbally and physically abused by unidentified 25th District officers.",7-4-15,female,black,22.0,38292772.0,white,male,2400 24TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
66,15-0371,2015-07-09,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-15 at 5:00pm they were harassed by an off-duty sergeant assigned to Police Radio.",7-5-15,male,white,34.0,49195329.0,white,female,4924 RADIO ROOM - DPR,Departmental Violation,No Sustained Findings,Not Applicable
68,15-0372,2015-07-09,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-4-15 at 9:50pm, they were improperly issued a traffic citation from an officer assigned to the 14th District.",3-4-15,male,black,29.0,35134546.0,white,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
70,15-0373,2015-07-09,1200, PHYSICAL ABUSE,"According to the complainant, on 7-6-13 at 1:20am, they were physically abused by a sergeant and another unidentified 12th District officer.",7-6-13,male,black,26.0,28218995.0,white,male,1200 12TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
72,15-0374,2015-07-09,1800, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-2-15 at 7:23pm, a detective assigned to Southwest Detective Division, acted unprofessionally and did not provide them with service.",7-2-15,female,unreported,,84755670.0,white,male,6500 SOUTHWEST DET,Unprofessional Conduct,No Sustained Findings,Not Applicable
73,15-0375,2015-07-09,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-15-15 at 8:15am, a detective, assigned to the Homicide Unit, did not follow proper police procedure.",5-15-15,female,black,47.0,11426736.0,black,male,6003 HOMICIDE UNIT,Verbal Abuse,No Sustained Findings,Not Applicable
75,15-0376,2015-07-09,1500, LACK OF SERVICE,"According to the complainant, on 6-28-15 at 3:30am, they did not receive proper service from an officer and corporal assigned to the 15th District.",6-28-15,female,white,27.0,60902978.0,black,female,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
76,15-0377,2015-07-09,1800, LACK OF SERVICE,"According to the complainant, on 6-7-15 at 9:50pm, they did not receive proper service from an officer assigned to the 18th District.",6-7-15,female,white,29.0,67423364.0,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
77,15-0378,2015-07-09,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-3-15 at 5:30am, they were treated unprofessionally by an unknown officer in the 14th District.",7-3-15,male,black,41.0,,unreported,unreported,,Departmental Violation,No Sustained Findings,Not Applicable
78,15-0379,2015-07-17,500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-1-15 at 9:15pm, they were falsely arrested by a sergeant assigned to the 5th District.",4-1-15,female,latino,35.0,49316179.0,white,female,0500 05TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
81,15-0380,2015-07-13,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-21-15 at approximately 6:45pm, they were falsely detained, physically abused and not given proper service from unidentified 25 District officers.",6-21-15,female,black,34.0,83770162.0,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
83,15-0381,2015-07-13,200, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-16-15 at 2:00am, unidentified officers from the 2nd District damaged their property and did not follow police procedures.",6-16-15,male,latino,45.0,80554086.0,white,male,6400 NORTHEAST DET,Departmental Violation,No Sustained Findings,Not Applicable
84,15-0382,2015-07-14,2400, VERBAL ABUSE,"According to the complainant, on 7-8-15 at 2:30am, they were verbally abused by an unknown 24th District officer.",7-8-15,male,white,52.0,35342943.0,white,male,2400 24TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
85,15-0383,2015-07-14,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to Highway Patrol, did not follow proper police procedure. This incident took place in the confines of the 14th district.",Unclear,male,black,24.0,17630578.0,black,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
86,15-0384,2015-07-14,1800, PHYSICAL ABUSE,"According to the complainant, on 6-21-15 at 7:30pm, they were falsely arrested and physically abused by unknown officers in the 18th District.",6-21-15,female,black,47.0,29144937.0,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
88,15-0385,2015-07-14,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, 06- 17,-15 at approximately, 4:00pm, they were treated unprofessionally and were wrongfully cited by a officer assigned to the 19th District .",Unclear,female,black,42.0,72025777.0,white,male,9807 SUPP POLICE SERVICE,Unprofessional Conduct,No Sustained Findings,Not Applicable
89,15-0386,2015-07-14,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-9-15 at 9:30am, they were harassed by officers assigned to the 14th District.",6-9-15,female,black,34.0,26342393.0,black,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
91,15-0387,2015-07-15,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-10-15 at 1:20am, they were falsely arrested by officers assigned to the 19th District.",7-10-15,male,black,,12610685.0,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
93,15-0388,2015-07-15,1500, LACK OF SERVICE,"According to the complainant, on 7-11-15 at 5:30pm, they did not receive proper service from a sergeant and other unknown 15th District officers.",7-11-15,male,black,33.0,48359338.0,black,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
96,15-0389,2015-07-15,300, LACK OF SERVICE,"According to the complainant, on 7-12-15 at 10:00am, they did not receive proper service from an officer assigned to the 3rd District.",7-12-15,female,white,44.0,38920366.0,white,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
97,15-0390,2015-07-15,2200, VERBAL ABUSE,"According to the complainant, on 7-12-15 at 3:20pm, they were verbally abused by a sergeant assigned to the 22nd District.",7-12-15,female,black,52.0,47882806.0,latino,male,2200 22ND DISTRICT,Falsification,No Sustained Findings,Not Applicable
101,15-0391,2015-07-16,1800, LACK OF SERVICE,"According to the complainant, on 7-8-15 at 3:40pm, they were treated unprofessionally and did not receive proper service from a detective assigned to Southwest Detective Division.",7-8-15,female,unreported,,98154699.0,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
104,15-0392,2015-07-16,1500, PHYSICAL ABUSE,"According to the complainant, on 7-3-15 at 8:15pm, their partner was physically abused by unknown 15th District officers.",7-3-15,male,unreported,,,unreported,unreported,,Physical Abuse,No Sustained Findings,Not Applicable
106,15-0393,2015-07-16,300, PHYSICAL ABUSE,"According to the complainant, on 7-5-15 at 2:00am, they were physically abused by unknown 3rd District officers.",7-5-15,male,black,17.0,42237550.0,black,male,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
107,15-0394,2015-07-16,2400, CRIMINAL ALLEGATION,"According to the complainant, an officer assigned to the 26th District, has repeatedly vandalized their vehicle.",Unclear,male,white,38.0,63360139.0,white,male,2600 26TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
108,15-0395,2015-07-16,900, LACK OF SERVICE,"According to the complainant, on 7-2-15 at 5:00pm, they did not receive proper service from unknown 9th District officers.",7-2-15,male,unreported,,,unreported,unreported,,Lack of Service,No Sustained Findings,Not Applicable
109,15-0396,2015-07-16,3900, LACK OF SERVICE,"According to the complainant, an officer assigned to the 39th District, did not follow proper police procedure.",Unclear,male,black,53.0,81602937.0,black,female,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
110,15-0397,2015-07-17,100, DOMESTIC,"According to the complainant, on 3-4-15 at 10:45pm, they did not receive proper service and proper procedures were not followed by from an officer assigned to the 1st District.",3-4-15,female,black,17.0,40951463.0,black,male,0100 01ST DISTRICT,Other Misconduct,No Sustained Findings,Not Applicable
114,15-0398,2015-07-16,2200, LACK OF SERVICE,"According to the complainant, on 7-13-15 at 2:00pm, they did not receive proper service from a sergeant assigned to the 22nd District.",7-13-15,female,black,52.0,47882806.0,latino,male,2200 22ND DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
115,15-0399,2015-08-04,1700, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 7-6-15 at 2:33pm, they were verbally abused by unknown officers in the 17th District.",7-6-15,male,black,50.0,,unreported,unreported,,No C.A.P. Investigation,Not Applicable,Not Applicable
116,15-0400,2015-07-16,1900, LACK OF SERVICE,"According to the complainant, they did not receive proper service from an unknown 19th District officer.",Unclear,male,black,,,unreported,unreported,,Lack of Service,No Sustained Findings,Not Applicable
120,15-0401,2015-07-27,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-14-15, they were verbally abused by an unknown off duty officer. This incident took place in the confines of the 25th District.",7-14-15,male,latino,52.0,56267434.0,latino,male,9852 CITY WIDE VICE,Verbal Abuse,No Sustained Findings,Not Applicable
121,15-0402,2015-07-21,500, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-15-15 at 5:51pm, they were treated unprofessionally by an officer assigned to the 5th District.",7-15-15,female,black,31.0,60861436.0,white,male,0500 05TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
122,15-0403,2015-07-16,900, LACK OF SERVICE,"According to the complainant, on 7-04-15, an unknown police dispatcher failed to follow proper procedure.",7-04-15,male,white,33.0,40323869.0,white,female,4923 RADIO ROOM,Lack of Service,Sustained Finding,Training/Counseling
123,15-0404,2015-07-21,1500, PHYSICAL ABUSE,"According to the complainant, on 7-13-15 at 9:30pm, their juvenile family member was physically abused by unknown 15th District officers.",7-13-15,female,unreported,,51762010.0,black,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
126,15-0405,2015-07-22,1900, VERBAL ABUSE,"According to the complainant, on 7-16-15 at 1:27pm, they were verbally abused by officers assigned to the 19th District.",7-16-15,female,black,29.0,96659013.0,black,male,1900 19TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
129,15-0406,2015-07-21,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-20-15 at 5:00pm, they were treated unprofessionally by unknown 19th District officers.",6-20-15,male,black,,29725152.0,white,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
133,15-0407,2015-07-21,2200, PHYSICAL ABUSE,"According to the complainant, on 7-9-15 at 10:00am, they were verbally abused by an officer assigned to the 22nd District.",7-9-15,female,black,31.0,37421247.0,white,male,2200 22ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
135,15-0408,2015-07-22,1600, DOMESTIC,"According to the complainant, on 7-11-15 at 5:30pm, they were harassed by an officer assigned to the 15th District.",7-11-15,male,black,31.0,96875478.0,black,male,1500 15TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
136,15-0409,2015-07-22,1800, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-12-15, they were treated unprofessionally by an unknown 18th District officer.",7-12-15,female,white,25.0,88173105.0,black,male,1800 18TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
137,15-0410,2015-07-21,500, HARASSMENT,"According to the complainant, on 7-16-15 at 7:35pm, they were harassed by an officer assigned to the 14th District.",7-16-15,male,black,35.0,40251428.0,white,male,1400 14TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
138,15-0411,2015-07-22,3500, LACK OF SERVICE,"According to the complainant, on 7-18-15 at 6:25pm, they did not receive proper service from an officer assigned to the 35th District.",7-18-15,male,black,33.0,47660676.0,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
139,15-0412,2015-07-22,1400, LACK OF SERVICE,"According to the complainant, on 7-14-15 at 10:30pm, they did not receive proper service from an officer assigned to the 14th District.",7-14-15,male,white,41.0,25613519.0,black,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
140,15-0413,2015-07-22,500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-17-15 at 8:05am, they were treated unprofessionally by an unknown officer in the 5th District.",7-17-15,male,white,60.0,18186761.0,black,female,3900 39TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
141,15-0414,2015-07-23,800, UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-5-15 at 10:00pm, they did not receive proper service from unknown 8th District officers.",3-5-15,female,white,58.0,96347963.0,black,female,0800 08TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
143,15-0415,2015-07-24,900, VERBAL ABUSE,"According to the complainant, on 7-14-15 at 3:00pm, as they were verbally abused by an officer assigned to Neighborhood Services Unit.",7-14-15,male,asian,,80704805.0,black,male,5602 Neighborhood Servic,Verbal Abuse,No Sustained Findings,Not Applicable
144,15-0416,2015-07-24,1800, PHYSICAL ABUSE,"According to the complainant, on 7-17-15 at 1:50pm, they witnessed unknown officers physically and verbally abuse several juveniles with in the confines of the 18th District.",7-17-15,female,unreported,,43031999.0,white,male,1800 18TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
146,15-0417,2015-07-24,1700, LACK OF SERVICE,"According to the complainant, on 7-16-15 at 8:18pm, they did not receive proper service from a lieutenant and officer assigned to the 17th District.",7-16-15,male,unreported,,74831582.0,black,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
148,15-0418,2015-07-24,3500, LACK OF SERVICE,"According to the complainant, on 7-13-15 at 7:30pm, they did not receive proper service from unknown 35th District officers.",7-13-15,female,unreported,30.0,79196760.0,white,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
150,15-0419,2015-07-22,300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-5-15 at 7:00pm, they were threatened by an off duty officer assigned to the 1st District.",7-5-15,male,white,55.0,28692438.0,white,male,0100 01ST DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
153,15-0420,2015-07-27,2400, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-22-15 at 3:25pm, they were verbally abused by a detective assigned to East Detective Division.",7-22-15,female,latino,,13763048.0,latino,female,5900 EAST DETECTIVES,Unprofessional Conduct,No Sustained Findings,Not Applicable
154,15-0421,2015-07-27,800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-18-15 at 12:00pm, they did not receive proper service from an officer assigned to the 8th District.",7-18-15,female,white,31.0,40052987.0,white,male,0800 08TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
155,15-0422,2015-07-27,1400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-17-15 at 2:25pm, they were verbally abused and treated unprofessionally by an unknown off duty officer. This incident took place in the confines of the 14th District.",7-17-15,male,unreported,,,unreported,unreported,,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
157,15-0423,2015-07-27,1800, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-18-15 at 10:15am, they were verbally abused by an officer assigned to Traffic.",7-18-15,male,asian,35.0,88989183.0,white,male,5200 TRAFFIC DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
158,15-0424,2015-07-27,1600, VERBAL ABUSE,"According to the complainant, 7-10-15 at 6:00pm, they were verbally abused by an unknown on duty officer in the confines of the 16th District.",7-10-15,male,white,25.0,,unreported,unreported,,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
159,15-0425,2015-07-28,200, UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-21-15 at 1:00pm, they were treated unprofessionally by a sergeant assigned to the 2nd District.",7-21-15,female,white,53.0,22745401.0,white,male,0200 02ND DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
161,15-0426,2015-07-27,300, LACK OF SERVICE,"According to the complainant, on 8-23-14 at 11:30am and 12:30pm, they did not receive proper service from unknown officers in the 3rd District.",8-23-14,male,white,43.0,36215669.0,white,male,0300 03RD DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
163,15-0427,2015-07-27,600, LACK OF SERVICE,"According to the complainant, on 7-20-15 at 8:50pm, they did not receive proper service from an unknown officer in the 6th District.",7-20-15,female,white,21.0,30096971.0,asian,female,0800 08TH DISTRICT,Lack of Service,Sustained Finding,Guilty Finding
164,15-0428,2015-07-28,3500, LACK OF SERVICE,"According to the complainant, on 6-19-15 at 5:00pm, they did not receive proper service from an officer assigned to the 35th District.",6-19-15,male,black,50.0,94950296.0,black,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
165,15-0429,2015-07-28,2200, UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-25-15 at 9:30pm, they were verbally abused by unknown 22nd District officers.",6-25-15,male,black,52.0,,unreported,unreported,,Unprofessional Conduct,No Sustained Findings,Not Applicable
167,15-0430,2015-07-30,1500, HARASSMENT,"According to the complainant, on 7-28-15 at 1:00am, they were harassed by an officer assigned to the 15th District.",7-28-15,male,other,28.0,95329152.0,latino,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
169,15-0431,2015-07-30,900, LACK OF SERVICE,"According to the complainant, on 6-17-15 at 10:09am, they received a lack of service from an officer assigned to the 9th Police District.",6-17-15,female,white,54.0,97509767.0,black,male,0900 09TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
170,15-0432,2015-07-30,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-22-15 at 6:00am, a detective assigned to Southwest Detective Division, did not follow proper police procedure.",7-22-15,female,unreported,,67265779.0,white,male,6500 SOUTHWEST DET,Departmental Violation,Sustained Finding,Training/Counseling
173,15-0433,2015-07-30,1900, LACK OF SERVICE,"According to the complainant, for the past two months, they did not receive proper service from detectives assigned to Southwest Detective Division.",Unclear,male,black,25.0,42123224.0,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
175,15-0434,2015-07-30,1600, VERBAL ABUSE,"According to the complainant, on 7-11-15 at 9:45am, they were verbally abused by an unknown officer in the 16th District.",7-11-15,female,black,58.0,,unreported,unreported,,Verbal Abuse,No Sustained Findings,Not Applicable
176,15-0435,2015-07-30,600, LACK OF SERVICE,"According to the complainant, on 7-24-15, they did not receive proper service from officers assigned to the 6th District.",7-24-15,male,white,45.0,92808305.0,black,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
178,15-0436,2015-07-30,3900, HARASSMENT,"According to the complainant, on 7-28-15 at 4:18pm, they have been harassed by an officer assigned to the 39th District.",7-28-15,male,black,38.0,55492555.0,white,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
179,15-0437,2015-08-04,, HARASSMENT,"According to the complainant, on 7-23-15 at 7:00pm, they were harassed by an officer assigned to the 24th District.",7-23-15,female,white,36.0,79216157.0,white,female,2400 24TH DISTRICT,Harassment,Sustained Finding,Training/Counseling
180,15-0438,2015-08-04,3900, HARASSMENT,"According to the complainant, they are being harassed by an officer assigned to the 39th District.",Unclear,female,black,27.0,60780755.0,black,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
181,15-0439,2015-08-04,1500, LACK OF SERVICE,"According to the complainant, on 7-24-15 at 10:11pm, an officer assigned to the 15th District falsified official documents.",7-24-15,female,black,38.0,87866861.0,latino,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
182,15-0440,2015-08-04,1500, LACK OF SERVICE,"According to the complainant, on 4-28-15 at 10:20pm, they did not receive proper service from an officer assigned to the 15th District.",4-28-15,male,black,67.0,88498918.0,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
184,15-0441,2015-08-12,, NON-INVESTIGATORY INCIDENT,"According to the complainant, a lieutenant, assigned to Internal Affairs, did not conduct a fair and proper investigation into an allegation of police corruption.",Unclear,male,black,,42532121.0,black,female,9800 INTERNAL AFFAIRS,No C.A.P. Investigation,Not Applicable,Not Applicable
185,15-0442,2015-08-13,, NON-INVESTIGATORY INCIDENT,"According to the complainant, a lieutenant assigned to Advanced Training Unit, did not follow proper police procedure.",Unclear,male,black,,62915536.0,white,female,5809 ADVANCED TRAIN UNIT,No C.A.P. Investigation,Not Applicable,Not Applicable
186,15-0443,2015-08-13,, NON-INVESTIGATORY INCIDENT,"According to the complainant, they did not receive proper service from a sergeant assigned to Internal Affairs.",Unclear,male,black,,95324518.0,white,male,9800 INTERNAL AFFAIRS,No C.A.P. Investigation,Not Applicable,Not Applicable
187,15-0444,2015-08-04,2200, VERBAL ABUSE,"According to the complainant, on 7-14-15 at 9:35pm, they were verbally abused by unknown 22nd District officers.",7-14-15,female,black,32.0,87650396.0,white,male,2200 22ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
189,15-0445,2015-08-05,1500, PHYSICAL ABUSE,"According to the complainant, on 8-2-15 at 12:00pm, they were verbally abused by an unknown 15th District officer.",8-2-15,male,black,33.0,94745332.0,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
190,15-0446,2015-08-05,2500, LACK OF SERVICE,"According to the complainant, on 7-12-15 at 1:00pm, they did not receive proper service from unknown 25th District officers.",7-12-15,female,black,38.0,78960725.0,white,male,9807 SUPP POLICE SERVICE,Lack of Service,No Sustained Findings,Not Applicable
192,15-0447,2015-08-05,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-18-15 at 4:30am, their person and their vehicle were illegally searched by a sergeant and other unknown 19th District officers.",7-18-15,male,black,,87629625.0,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
